market_constraint,dayzer_constraint,pano_constraint
AHOSKIE 115 KV  136B,AHOSKIE_115 KV_136B:L115.SouthHampton-HandsomDP-Newsoms.140,TUNIS 115KV - AHOSKIE 115KV (AHOSKIE 115 KV 136B) L115.SouthHampton-HandsomDP-Newsoms.140
HUMMELCR138 KV  HUM-GRE1,HUMMELCR_138 KV_HUM-GRE1:L765.Jefferson-Rockport,GREENTO2 138KV - HUMMELCR 138KV (HUMMELCR 138 KV HUM-GRE1) L765.Jefferson-Rockport
CLBHOUSE 230 KV CLBHOUSE TX1 XFORMER,CLBHOUSE_230 KV_TX1:L230.Carson-ClubHouse.238 (Sctnlz),CLBHOUSE 230KV - CLBHOUSE 115KV (CLBHOUSE 230 KV TX1) L230.Carson-ClubHouse.238 (Sctnlz)
LACKAWAN230 KV  LAC-SUM2,LACKAWAN_230 KV_LAC-SUM2:L500.Shickshinny-Susquehanna.5067,LACKAWAN 230KV - SUMMITPL 230KV (LACKAWAN 230 KV LAC-SUM2) L500.Shickshinny-Susquehanna.5067
51 MC CO345 KV  TR84_1,51 MC CO_345 KV_TR84CT-P:L345.GoodingsGrove-Lockport.11604,51 MC CO 345KV - 51 MC CO 138KV (51 MC CO 345 KV TR84_1) L345.GoodingsGrove-Lockport.11604
MORTON 230 KV MORTON-RIDLEY 220-46,NPHILADE_230 KV_NPH-WAN:L230.Printz-Ridley-Morton-MacDade.220-46,NPHILADE 230KV - MASTER 230KV (MASTER 230 KV MAS-NPH) L230.Printz-Ridley-Morton-MacDade.220-46
ROCKWOOD_115KVROC-SOM_1_LN,ROCKWOOD_115 KV_ROC-SOM:ACTUAL,SOME PN 115KV - ROCKWOOD 115KV (ROCKWOOD 115 KV ROC-SOM) 345/138.Ashtabula.TR4 & Seneca#1 Pump
DRANESVL230 KV  2062A,DRANESVL_230 KV_2062A:L230.PleasntView-EdwardsFerry-Dickerson.23111/203A,RESTON 230KV - DRANESVL 230KV (DRANESVL 230 KV 2062A) L230.PleasntView-EdwardsFerry-Dickerson.23111/203A
KERRDAM 115 KV 193D,KERRDAM_115 KV_193D:L230.Bremo-Cartersville-Powhatan-Midlothian.2027,KERRDP 115KV - KERRDAM 115KV (KERRDAM 115 KV 193D) L230.Bremo-Cartersville-Powhatan-Midlothian.2027
94 HAURD-11323 11323 B 138 KV,94 HAURD_138 KV_11323:L345.Byron-LeeCounty.0627,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323) L345.Byron-LeeCounty.0627
CRISFIE_69KVCRI-KST_1_LN,CRISFIE_69 KV_CRI-KST:ACTUAL,CRISFIE 69KV - KINGSTON 69KV (CRISFIE 69 KV CRI-KST) BASE
LINCOJCT 115 KV LINCOJCT-LINCOLN 963-1T,LINCOLN_115 KV_LIN-ORRT:L500.Brighton-Conastone.5011,LINCOJCT-LINCOLN 963-1T     A  115 KV L500.Brighton-Conastone.5011
PLYMOUTH_230KVPLY-UPP_1_LN,PLYMOUTH_230 KV_PLY-UPP:ACTUAL,PLYMOUTH 230KV - UPPERMER 230KV (PLYMOUTH 230 KV PLY-UPP) RAS.500/230.PeachBottom.T1 + MuddyRun.U5-8
CRES DUQ138 KV  CRE-MTN,CRES DUQ_138 KV_CRE-MTN:Collier - Clinton (DUQ) 345 KV LINE,CRES DUQ 138KV - MT NEBO 138KV (CRES DUQ 138 KV CRE-MTN) Collier - Clinton (DUQ) 345 KV LINE
FREMNT  138 KV  FRE-WFR1,FREMNT_138 KV_FRE-WFR1:L345.EastLima-FostoriaCentral,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1) L345.EastLima-FostoriaCentral
CRANBERY138 KV CRA-TRA,CRANBERY_138 KV_CRA-TRA:ACTUAL,CRANBERY 138KV - TRALUM 138KV (CRANBERY 138 KV CRA-TRA) BASE
BRIGHTON230 KV  BRI-BUR2,BRIGHTON_230 KV_BRI-BUR2:ACTUAL,BRIGHTON 230KV - BURTONSV 230KV (BRIGHTON 230 KV BRI-BUR2) BASE
167 PLAN 345 KV 167 PLANO 45TR94 CT,167 PLAN_345 KV_TR94CT-S:L345.Lasalle - Plano.0101,167 PLAN 1KV - 167 PLAN 765KV (167 PLAN 765 KV TR94CT-P) L345.Lasalle - Plano.0101
BEAV DUQ138 KV  BEA-RAC,BEAV DUQ_138 KV_BEA-RAC:L345.Crescent-Mansfield,BEAV DUQ 138KV - RACC DUQ 138KV (BEAV DUQ 138 KV BEA-RAC) L345.Crescent-Mansfield
LACKAWAN230 KV  LAC-PAU,LACKAWAN_230 KV_LAC-PAU:L500.Hopatcong-Lackawanna.5063,LACKAWAN 230KV - PAUPACK 230KV (LACKAWAN 230 KV LAC-PAU) L500.Hopatcong-Lackawanna.5063
MOUN ME 115 KV  2 TX 11,MOUN ME_115 KV_2 TX 11:ACTUAL,MOUN ME 115KV - MOUN ME 13.8KV (MOUN ME 115 KV 2 TX 11) BASE
MULHAUSR138 KV  08M-POR1,MULHAUSR_138 KV_08M-POR1:L138.Miami Fort-Morgan,PORTUNIO 138KV - MULHAUSR 138KV (MULHAUSR 138 KV 08M-POR1) L138.Miami Fort-Morgan
3 POWERT138 KV  POW-TWRL,3 POWERT_138 KV_POW-TWRL:L138.133RockFall-187SchauffRoad.18702,3 POWERT 138KV - TWRL 138KV (3 POWERT 138 KV POW-TWRL) L138.133RockFall-187SchauffRoad.18702
HOYTDAL2345 KV  2,HOYTDAL2_345 KV_2:L500.Cranberry-WylieRidge,HOYTDAL2 138KV - MAPLEOE 138KV (HOYTDAL2 138 KV HOY-MAP1) L500.Cranberry-WylieRidge
NMESHOPP #3 TX XFORMER L 115 KV,NMESHOPP_230 KV_#3 TX:L500.Hopatcong-Lackawanna.5063,NMESHOPP 230KV - NMESHOPP 115KV (NMESHOPP 230 KV #3 TX) L500.Hopatcong-Lackawanna.5063
CHESWICK 138 KV CHESWICK-LOGANSFE CHE-LF52,CHESWICK_138 KV_CHE-LF52:L345.Crescent-Collier-BrunotIsland.331,CHESWICK 138KV - LOGANSFE 138KV (CHESWICK 138 KV CHE-LF52) L345.Crescent-Collier-BrunotIsland.331
PLYWOOD 115 KV  151A,PLYWOOD_115 KV_151A:L500.Carson-Rawlings.511,SEDGEHIL 115KV - PLYWOOD 115KV (PLYWOOD 115 KV 151A) L500.Carson-Rawlings.511
EDENSRID138 KV  EDE-IND1,EDENSRID_138 KV_EDE-IND1:L500.Broadford-Sullivan (TVA) Tie,EDENSRID 138KV - INDIANSP 138KV (EDENSRID 138 KV EDE-IND1) L500.Broadford-Sullivan (TVA) Tie
TODD HUNTER 345/138 17 L/O TODD HUNTER 345/138 15,TODDHUNT_345 KV_17:TODHUNTER  BK 15 TRANSFORMER,Todd Hunter 345/138 17 l/o Todd Hunter 345/138 15 TODHUNTER  BK 15 TRANSFORMER
112 WILT 765 KV 112 WILTON 65TR94 CT,112 WILT_345 KV_TR94CT-S:L765.Wilton-Collins.11216,112 WILT 1KV - 112 WILT 765KV (112 WILT 765 KV TR94CT-P) L765.Wilton - Collins.11216
EELKHART138 KV  EEL-ELC1,EELKHART_138 KV_EEL-ELC1:345/138.RobisonPark.T5,EELKHART 138KV - ELCONATP 138KV (EELKHART 138 KV EEL-ELC1) 345/138.RobisonPark.T5
CURRYVIL_115KVCUR-SAX_1_LN,CURRYVIL_115 KV_CUR-SAX:230/115.Lewistown.T3,CURRYVIL 115KV - SAXTON 115KV (CURRYVIL 115 KV CUR-SAX) 230/115.Lewistown.T3
12_DRESD_345KV1220_1_LN,12 DRESD_345 KV_1220:L345.Lockport-Kendall.10805,12 DRESD 345KV - 900 ELWO 345KV (12 DRESD 345 KV 1220) L345.Lockport-Kendall.10805
78_FRANK_P3_138P3705-1_XF,78 FRANK_138 KV_13503 1:ACTUAL,78_FRANK_P3_138P3705-1_XF BASE
11323   138 KV  11323 5,11323_138 KV_11323 5:ACTUAL,113 WATE138 KV  11323 Z1 138 SILV345 KV  BT3-4 CBCB      OPEN    138 SILV345 KV  BT5-6 CBCB      OPEN    156 CHER345 KV  BT5-
HAVILAND_69KVHAV-LAT_1_LN,HAVILAND_69 KV_HAV-LAT:ACTUAL,LATTYJCT 69KV - HAVILAND 69KV (HAVILAND 69 KV HAV-LAT) BASE
GRANDPT_138KVGRA-LET_1_LN,GRANDPT_138 KV_GRA-LET:ACTUAL,GRANDPT 138 KV  GRA-LET Lewistown #1 230/115/46 kV transformer
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:ACTUAL,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1) 138/69.Haviland.T4 (Sctnlz)
LADYSMCT230 KV  LAD-SUMM,LADYSMCT_230 KV_LAD-SUMM:L500.Ladysmith-Possum Point.568,LADYSMCT 230KV - SUMMITDP 230KV (LADYSMCT 230 KV LAD-SUMM) L500.Ladysmith-Possum Point.568
HINCHMAN_230KVHIN-JAC_1_LN,HINCHMAN_230 KV_HIN-JAC:L500.Hopatcong-Ramapo.5018,JACK PS 230KV - HINCHMAN 230KV (HINCHMAN 230 KV HIN-JAC) L500.Hopatcong-Ramapo.5018
THELMA  138 KV  THE-BUS1,THELMA_138 KV_THE-BUS1:L765.Culloden-Wyoming,BUSSEYVI 138KV - THELMA 138KV (THELMA 138 KV THE-BUS1) L765.Culloden-Wyoming
LORETTO 138 KV LORETTO-PINEYGRO 13777,PINEYGRO_230 KV_AT20:L138.Loretto-Vienna.13780,LORETTO-PINEYGROVE 13777 138 KV 230/138.PineyGrove.AT20+L230.PinyGrve-IndinR.23002
LOWMOOR 138 KV  TX1A,LOWMOOR_138 KV_TX1A:ACTUAL,LOWMOOR 138KV - LOWMOOR 13KV (LOWMOOR 138 KV TX1A) BASE
MTEAGLE 230 KV  2028A,MTEAGLE_230 KV_2028A:L500.Midlothian-NorthAnna.576,MTEAGLE 230KV - CHARLTSV 230KV (MTEAGLE 230 KV 2028A) L500.Midlothian-NorthAnna.576
ALLENIM 138 KV  ALL-LOG,ALLENIM_138 KV_ALL-LOG:L345.Beaver-DavisBesse,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG) L345.Beaver-DavisBesse
IRONWOOD 230 KV IRONWOOD-SLEBANON,MIDDLJCT_230 KV_MID-SLE:DBL:L230.Ironwood-NLebanon & SLebanon-Berks,SLEBANON 230KV - SLEBANON 69KV (SLEBANON 230 KV 1BANK) L230.Ironwood-NorthLebanon
CRANBERY138 KV  CRA-HOY,CRANBERY_138 KV_CRA-HOY:ACTUAL,HOYTDAL2 138KV - CRANBERY 138KV (CRANBERY 138 KV CRA-HOY) L345.McClelland-Shenango
11 FISK 38TR71 12 H 138 KV,11 FISK_138 KV_TR71 12:11 FISK TR75 (SERIES DEV),11 FISK 138KV - 11 FISK 12KV (11 FISK 138 KV TR71 12) 11 FISK TR75 (SERIES DEV)
MARQUIS2 345 KV MARQUIS2-DOEX530 TIE,DOEX530_345 KV_DOE-PIE2:L345.KygerCreek-Marquis,DOEX530 345KV - MARQUIS2 345KV (MARQUIS2 345 KV MAR-DOE2) L345.KygerCreek-Marquis
12 DRESD138 KV  1210 1,12 DRESD_138 KV_1210 1:ACTUAL,12 DRESD 138KV - 1210 138KV (12 DRESD 138 KV 1210 1) BASE
SHELOCTA 230 KV SHELOCTA NO2 XFORMER,SHELOCTA_230 KV_NO2:L230.HomerCity-Shelocta.2014 (Sctnlz),BLAIRSVE NO.1 TX  XFORMER   H  138 KV L230.HomerCity-Shelocta-Keystone.2014
FUDGEHO4138 KV  14A,FUDGEHO4_138 KV_14A:L500.Cloverdale-Lexington.566,FUDGEHO4 138KV - KANAWTRL 138KV (FUDGEHO4 138 KV 14A) L500.Cloverdale-Lexington.566
BLAIRSVE_138KVBLA-SOC_1_LN,BLAIRSVE_138 KV_BLA-SOC:ACTUAL,BLAIRSVE 138KV - SOCIALHA 138KV (BLAIRSVE 138 KV BLA-SOC) L500.SouthBend-Yukon
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:L500.Hunterstown-Vinco.5068,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN) L500.Hunterstown-Vinco.5068
CHERRYRN 138 KV CHERRYRN-MORGAN WC2,CHERRYRN_138 KV_CHE-MOR:L500.Bismark-Doubs,MORGAN 138KV - CHERRYRN 138KV (CHERRYRN 138 KV CHE-MOR) L500.Bismark-Doubs
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:345/230.HomerCity.AT-S + RAS.STS-2.Homer.U2,BUTL APS-KARNSCIT KC-BT     A  138 KV MAXCR: 500/230.Keystone.T4 + U1 + U2 + 5003 + 5004
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:L500.Alburtis-Juniata.5009,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN) L500.Alburtis-Juniata.5009
HAYES_FE138 KV  AVE-HAYE,HAYES_FE_138 KV_AVE-HAYE:L345.Beaver-LakeAvenue.1,HAYES_FE 138KV - AVERY 138KV (HAYES_FE 138 KV AVE-HAYE) L345.Beaver-LakeAvenue.1
TANNER - JASPER 138 KV L/O W FRANKFORT - MT VERNON 345 KV,E W FKF3_138 KV_EWF-JORD:Mt Vernon-EWFKF3 345 kV,W Frankfort W Frankfort E 138kV l/o West Frankfort E Mt Vernon 345kV Mt Vernon-EWFKF3 345 kV
BLOOMSBU69 KV   BLO-COL2,CANTON_34 KV_CAN-BLO2:ACTUAL,BLOOMSBU69 KV   BLO-COL2 BASE
CONEMAUG500 KV TX3,CONEMAUG_500 KV_TX3:L500.Hunterstown-Conastone.5013,CONEMAUG 500KV - CONEMAUG 230KV (CONEMAUG 500 KV TX3) L500.Hunterstown-Conastone.5013
ESIDELIM138 KV  ESI-GOME,ESIDELIM_138 KV_ESI-GOME:L765.Marysville-Sorenson,GOMER 138KV - ESIDELIM 138KV (ESIDELIM 138 KV ESI-GOME) L765.Marysville-Sorenson
BLACKOAK 138 KV BLACKOAK-JUNCTION JBO,JUNCTION_138 KV_JUN-PAR:L500.BlackOak-Hatfield.542,BLACKOAK 138KV - JUNCTION 138KV (BLACKOAK 138 KV BLA-JUN) L500.Bedington-BlackOak
NELSON 138 KV NELSON-VIENNA 13707,NELSON_138 KV_AT1:L138.Loretto-Vienna.13780,NELSON 69KV - EDGEWDPL 69KV (EDGEWDPL 69 KV EDG-NEL) L138.Loretto-Vienna.13780
IDYLWOO4 230 KV IDYLWOO4-CLARK4 202A,IDYLWOO4_230 KV_202A:L230.EvergreenMills-YarleyRidge.2209,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A) L230.EvergreenMills-YarleyRidge.2209
MEADOWBR-STRASBUR MST A 138 KV,SCOTTSVI_138 KV_SCO-BRE1:L500.MtStorm-Valley.550,MEADOWBR-STRASBUR MST       A  138 KV L500.MtStorm-Valley.550
127 MATT 138 KV 127 MATT-6604 6604 2,127 MATT_138 KV_6604 2:L345.Bloom-DavisCreek.17907 S,6604 138KV - 127 MATT 138KV (127 MATT 138 KV 6604 2) L345.Bloom-DavisCreek.17907 S
TRISTATE138 KV  TRI-CHA2,TRISTATE_138 KV_TRI-CHA2:L138.Chadwick-Tristate.1,TRISTATE 138KV - CHADWICK 138KV (TRISTATE 138 KV TRI-CHA2) L138.Chadwick-Tristate.1
MIDDLJCT 115 KV MIDDLJCT-YORKHAVE 978-1,MIDDLJCT_115 KV_2 TX RE:Hunterstown-TexasEastern-Gardners (991) 115 kV lin,MIDDLJCT-YORKHAVE 978-1     A  115 KV Hunterstown-TexasEastern-Gardners (991) 115 kV lin
ASPENSLR115 KV  ASP-ROXB,ASPENSLR_115 KV_ASP-ROXB:L500.Bedington-BlackOak,ASPENSLR 115KV - ROXBURY 115KV (ASPENSLR 115 KV ASP-ROXB) L500.Bedington-BlackOak
BETHEL-RIVERTON RLU B 138 KV,BETHEL_138 KV_BET-RIVU:L500.Cloverdale-Lexington.566,BETHEL 138KV - RIVERTON 138KV (BETHEL 138 KV BET-RIVU) L500.Cloverdale-Lexington.566
EDGEWATE 138 KV EDGEWATE-VASCOTAP SH-LH,EDGEWATE_138 KV_EDG-VAS:500/138.Yukon.T2,VASCOTAP 138KV - EDGEWATE 138KV (EDGEWATE 138 KV EDG-VAS) 500/138.Yukon.T2
YUKON 500 KV YUKON TRAN 3 XFORMER,YUKON_500 KV_TRAN 6:L500.Cabot-Keystone.5002,YUKON    TRAN  3  XFORMER   H  500 KV L500.Cabot-Keystone.5002
RICHLND 138 KV RICHLND-NAOMIJUN,RICHLND_138 KV_RIC-WAUS:L138.Richland-Ridgeville-Stryker,RICHLND-NAOMIJUN            A  138 KV L138.Richland-Ridgeville-Stryker
BROADFO2 138 KV BROADFO2-SALTVILL 2,BROADFO2_138 KV_BRO-KEY1:ACTUAL,BROADFO2 138KV - SALTVILL 138KV (BROADFO2 138 KV BRO-SAL1) L138.Broadford-Smyth-Atkins
NELSON 345/138 TR82 L/O BYRON-LEE COUNTY 345 KV,155 NELS_345 KV_TR82CT-P:L345.Byron-LeeCounty.0627,124 Maryland-11902 138 l/o Byron-Lee County 345 kV L345.Byron-LeeCounty.0627
BEAUMEAD-ASHBURN 274C B 230 KV,BEAUMEAD_230 KV_274C:L230.EvergreenMills-Brableton.2172,ASHBURN 230KV - BEAUMEAD 230KV (BEAUMEAD 230 KV 274C) L230.EvergreenMills-Brableton.2172
SCANTON2138 KV  SCA-APP1,SCANTON2_138 KV_SCA-APP1:L345.OhioCentral-MuskingumRiver,SCANTON2 138KV - APPLECRE 138KV (SCANTON2 138 KV SCA-APP1) L345.OhioCentral-MuskingumRiver
YUKON 500 KV YUKON TRAN 3 XFORMER,YUKON_500 KV_TRAN 7:500/138.Yukon.TR5,YUKON   500 KV  TRAN  3 500/138.Yukon.TR5 (Future)
EASTGATE 138 KV EASTGATE-LUXOR KF-LU,EASTGATE_138 KV_EAS-LUX:L138.YoungWood-Yukon,EASTGATE 138KV - LUXOR 138KV (EASTGATE 138 KV EAS-LUX) L138.YoungWood-Yukon
MIDDLETO_138KVMID-MTP_1_LN,MIDDLETO_138 KV_MID-MTP:L230.CedarCreek-SilverRun.23030,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP) L230.CedarCreek-SilverRun.23030
BROADFO2-SALTVILL 1         A  138 KV,BROADFO2_138 KV_BRO-SAL1:L765.Culloden-Wyoming,BROADFO2 138KV - SALTVILL 138KV (BROADFO2 138 KV BRO-SAL1) L765.Culloden-Wyoming
CHR138_138KVCHR-NEW_1_LN,CHR138_138 KV_CHR-NEW:ACTUAL,NEWCASTL 138KV - CHR138 138KV (CHR138 138 KV CHR-NEW) BASE
BURKE   230 KV  270A,BURKE_230 KV_270A:L500.Morrisville-Spotsylvania.594,SIDEBURN 230KV - BURKE 230KV (BURKE 230 KV 270A) L500.Morrisville-Spotsylvania.594
RIVERRD 115 KV  86D,RIVERRD_115 KV_86D:L500 Chickahominy-Elmont.557A(Sctnlz),RIVERRD 115KV - NWEST 115KV (RIVERRD 115 KV 86D) L500 Chickahominy-Elmont.557A(Sctnlz)
APSOUTH CONTINGENCY 73,APSouth Interface:L500.RhodesLane-Yukon.517,APSOUTH contingency 73 L500.RhodesLane-Yukon.517
TITUSVIL115 KV TIT-UNI,TITUSVIL_115 KV_TIT-UNI:L345.ErieWest-Wayne.3004,TITUSVIL 115KV - UNIONCIT 115KV (TITUSVIL 115 KV TIT-UNI) L345.ErieWest-Wayne.3004
MIDDLETO 138 KV MIDDLETO-MTPLEASN 13808-2,MIDDLETO_138 KV_MID-MTP:L230.Cartanza-SilverRun.23032,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP) L230.Cartanza-SilverRun.23032
66 E FRN 345 KV 66 E FRN TR83CT-P XFORMER,66 E FRN_345 KV_TR83CT-P:L345.Braidwood-EastFrankfort.2001,66 E FRN 345KV - 66 E FRN 1KV (66 E FRN 345 KV TR83CT-P) L345.Braidwood-EastFrankfort.2001
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:L500.Conemaugh-Keystone.5003,ALLDAM6-KITTANNI SP-KT      A  138 KV MAXCR: 500/230.Keystone.T4 + U1 + U2 + 5003 + 5004
08LAPLJT138 KV  08L-SAN1,08LAPLJT_138 KV_08L-SAN1:Jefferson-Rockport 765+Rockport Unit 2,08LAPLJT 138KV - SANDERSO 138KV (08LAPLJT 138 KV 08L-SAN1) Jefferson-Rockport 765+Rockport Unit 2
7713 -981 CRESENT 138 KV FOR LOSS OF POWERTON-TOULON 0321 138 KV,74 KEWAN_138 KV_BTIE Z1:L138.Powerton-Toulon.0321,7713 -981 Cresent 138 kV for loss of Powerton-Toulon 0321 138 kV L138.Powerton-Toulon.0321
BRUNSWIC230 KV  BRU-MEA,BRUNSWIC_230 KV_BRU-MEA:L500.Hopatcong-Ramapo.5018,BRUNSWIC 230KV - MEADOWRD 230KV (BRUNSWIC 230 KV BRU-MEA) L500.Hopatcong-Ramapo.5018
FTSLOCUM69 KV   190-6R,FTSLOCUM_69 KV_190-6R:ACTUAL,FTSLOCUM69 KV   190-6R L500.BurchesHill-PossumPoint.560
12THST  69 KV   12T-FTS,12THST_69 KV_12T-FTS:L500.BurchesHill-PossumPoint.560,FTSLOCUM 69KV - 12THST 69KV (12THST 69 KV 12T-FTS) L500.BurchesHill-PossumPoint.560
NRTHNECK 230 KV NRTHNECK TX6 XFORMER,NRTHNECK_230 KV_TX6:L500.Midlothian-NorthAnna.576,NRTHNECK 115KV - NRTHNECK 230KV (NRTHNECK 230 KV TX6) L500.Midlothian-NorthAnna.576
08OAKLEY138 KV  08O-RED1,08OAKLEY_138 KV_08O-RED1:ACTUAL,REDBANK 138KV - 08OAKLEY 138KV (08OAKLEY 138 KV 08O-RED1) BASE
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:L345.HandsomeLake-Wayne,ALLDAM6-KITTANNI SP-KT      A  138 KV 345/115.ErieWest.T1
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,MAINESBG_345 KV_T1:L230.ETowanda-Hillside.2002 [NYISO],FARMERSV115 KV  FAR-TWO L230.ETowanda-Hillside.2002 [NYISO] + SPS.ESayre
LINWOOD2138 KV  LIN-ROS1,LINWOOD2_138 KV_LIN-ROS1:L765.Dumont-Sorenson,LINWOOD2 138KV - ROSEHILL 138KV (LINWOOD2 138 KV LIN-ROS1) L765.Dumont-Sorenson
MIDDLETO 138 KV MIDDLETO-MTPLEASN 13808-2,MIDDLETO 138-MTPLEASN 138,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP) L230.Cartanza-Milford.23033
CAMDEN  230 KV  CAM-GLOY,CAMDEN_230 KV_CAM-GLOY:ACTUAL,GLOUCEST 230KV - CAMDEN 230KV (CAMDEN 230 KV CAM-GLOY) BASE
ERDMAN_115KVERD-PHI5_1_LN,ERDMAN_115 KV_ERD-PHI5:ACTUAL,ERDMAN 115KV - PHILADRD 115KV (ERDMAN 115 KV ERD-PHI5) BASE
TRENTON2 138 KV TRENTON2-HUSTON 3281,TRENTON2_138 KV_HUS-TRE:L345.MiamiFort-Woodsdale.4592,HUSTON 138KV - TRENTON2 138KV (TRENTON2 138 KV HUS-TRE) L345.MiamiFort-Woodsdale.4592
CHESWICK 138 KV CHESWICK-LOGANSFE CHE-LF53,CHESWICK_138 KV_CHE-LF53:138.Cheswick-Logans Ferry.Z-52,CHESWICK 138KV - LOGANSFE 138KV (CHESWICK 138 KV CHE-LF53) 138.Cheswick-Logans Ferry.Z-52
GRAPEVIN230 KV  GRA-MTEA,GRAPEVIN_230 KV_GRA-MTEA:L500.Midlothian-NorthAnna.576,GRAPEVIN 230KV - MTEAGLE 230KV (GRAPEVIN 230 KV GRA-MTEA) L500.Midlothian-NorthAnna.576
SHELBYCO69 KV   SHE-SHLC,SHELBYCO_69 KV_SHE-SHLC:ACTUAL,SHELBYTP 69KV - SHELBYCO 69KV (SHELBYCO 69 KV SHE-SHLC) BASE
WEFOSTOR138 KV WEF-02W1,WEFOSTOR_138 KV_WES-WOOD:L138.FremontCenter-Fremont-WestFremont,WEFOSTOR138 KV  WEF-02W1 L138.FremontCenter-Fremont-WestFremont
MTNEBO  69 KV   FAC-MTNB,MTNEBO_69 KV_FAC-MTNB:115/69.Face Rock.1&2,FACEROCK 69KV - MTNEBO 69KV (MTNEBO 69 KV FAC-MTNB) 115/69.Face Rock.1&2
SHAWVILL115 KV  BNK 1A-S,SHAWVILL_115 KV_BNK 1A-S:L115.Summit-Thirty First St.,SHAWVILL 1KV - SHAWVILL 115KV (SHAWVILL 115 KV BNK 1A-S) L115.Summit-Thirty First St.
SEWARD 230 KV SEWARD 230 KV T11 XFORMER,SEWARD_230 KV_T11:L230.Johnstown-Seward.2018,SEWARD 230KV - SEWARD 115KV (SEWARD 230 KV T11) L230.Johnstown-Seward.2018
JACKSONVILLE NORTH-JACKSONVILLE INDUSTRIAL 138 KV L/O BLUEMOUND-PONTIAC 345 KV,JACK_138 KV_JAC-JAC2:Pontiac-Blue Mound 345,JACKSNV3 138KV - JACK 138KV (JACK 138 KV JAC-JAC2) L345.Pontiac-Blue Mound.8002
OX4 500 KV OX4 TX2 XFORMER,OX4_500 KV_TX2:L500.BurchesHill-PossumPoint.560,OX4 500KV - OX4 230KV (OX4 500 KV TX2) L500.BurchesHill-PossumPoint.560
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:L765.Culloden-Wyoming,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2) L765.Culloden-Wyoming
CHESTER4 115 KV CHESTER4-TURNER4 92A,CHESTER4_115 KV_92A:ACTUAL,CHESTER4 115KV - TURNER4 115KV (CHESTER4 115 KV 92A) BASE
THELMA 69 KV THE-THE1,THELMA_69 KV_THE-THE1:L765.Kammer-Belmont-Mountaineer+765/500.Belmont.T5,THELMA 69KV - THELMAEK 69KV (THELMA 69 KV THE-THE1) L765.Kammer-Belmont-Mountaineer+765/500.Belmont.T5
BOONETWN230 KV  BOO-SRE,BOONETWN_230 KV_BOO-SRE:L500.PeachBottom.BusTie.2,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE) L500.PeachBottom.BusTie.2
DOUBS   500 KV  DOU-GOO,DOUBS_500 KV_DOU-GOO:L500.Bristers-Ox.539,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO) L500.Bristers-Ox.539
ALLENIM 138 KV  ALL-TIL,ALLENIM_138 KV_ALL-TIL:L765.Marysville-Sorenson,ALLENIM 138KV - TILLMAN 138KV (ALLENIM 138 KV ALL-TIL) L765.Marysville-Sorenson
POSSUMP4 230 KV POSSUMP4 2078Z SER DEV,POSSUMP4_230 KV_2078Z:L500.BurchesHill-PossumPoint.560,POSSUMP4230 KV  2078Z L500.BurchesHill-PossumPoint.560
MTSTORM4 500 KV MTSTORM4-VALLEY4 550A,MTSTORM4_500 KV_550A:L500.Cloverdale-Lexington.566,MTSTORM4 500KV - VALLEY4 500KV (MTSTORM4 500 KV 550A) L500.Cloverdale-Lexington.566
BUTL APS 138 KV BUTL APS-SHANORMA KND-BT,BUTL APS_138 KV_BUT-SHA:ACTUAL,BUTL APS 138KV - SHANORMA 138KV (BUTL APS 138 KV BUT-SHA) 500/138.Cranberry.T1
